name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Pinto Study Table (Two-Tone Finish),,,"₹11,999",,,,https://www.urbanladder.com/products/pinto-study-table?sku=FNTBST41TT10093&src=subcat
Corneo Study Table (Mahogany Finish),,,"₹9,499",,,,https://www.urbanladder.com/products/corneo-study-table?sku=FNTBST11MH13005&src=subcat
Anton Study Table (White),,"₹13,999","₹10,499",25% Off,,,https://www.urbanladder.com/products/anton-study-table?sku=FNTBST33WH10099&src=subcat
Twain Study Table (Cherry Melamine Finish),Best Seller,,"₹9,999",,,,https://www.urbanladder.com/products/twain-study-table?sku=FNTBST41CM30081&src=subcat
James Study Table (Dark Walnut Finish),New Arrival,,"₹9,599",,,,https://www.urbanladder.com/products/james-study-table?sku=FNTBST10DW30787&src=subcat
Dybek Study Table (Teak Finish),,"₹10,499","₹8,924",15% Off,,,https://www.urbanladder.com/products/dybek-study-table?sku=FNTBST11TK10368&src=subcat
Tolstoy Study Table (Dark Walnut Finish),,"₹14,999","₹11,999",20% Off,,,https://www.urbanladder.com/products/tolstoy-study-table?sku=FNTBST15DW10018&src=subcat
Graham Study Table (Classic Walnut Finish),,"₹8,999","₹7,199",20% Off,,,https://www.urbanladder.com/products/graham-study-table?sku=FNTBST43CW30010&src=subcat
Collins Corner Study Table (Dark Walnut Finish),,"₹13,399","₹10,719",20% Off,,,https://www.urbanladder.com/products/collins-corner-study-table?sku=FNTBST15DW10019&src=subcat
Grisham Wall Mounted Study Table (Californian Walnut Finish),,"₹6,899","₹5,519",20% Off,,,https://www.urbanladder.com/products/grisham-wall-mounted-study-table?sku=FNTBST43CW10099&src=subcat
Bond Study Table (Classic Walnut Finish),,"₹9,099","₹7,279",20% Off,,,https://www.urbanladder.com/products/bond-study-table?sku=FNTBST43CW30089&src=subcat
Allan Study Table (Cherry Walnut Finish),,"₹8,499","₹6,374",25% Off,,,https://www.urbanladder.com/products/allan-study-table?sku=FNTBST33CW10089&src=subcat
Taarkashi Study Table (American Walnut Finish),,"₹17,699","₹14,159",20% Off,,,https://www.urbanladder.com/products/taarkashi-study-table?sku=FNTBST11AW30071&src=subcat
Sidney Study Table (Honey Walnut Finish),,"₹21,999","₹17,599",20% Off,,,https://www.urbanladder.com/products/sidney-study-table?sku=FNTBST41HW30088&src=subcat
Niccol Glass Top Adjustable Study Table (Classic Walnut Finish),,"₹22,999","₹16,099",30% Off,,,https://www.urbanladder.com/products/niccol-adjustable-study-table?sku=FNTBST41CW30184&src=subcat
Austen Compact Desk (Mahogany Finish),,"₹11,499","₹9,199",20% Off,,,https://www.urbanladder.com/products/austen-compact-desk-two-tone?sku=FNTBST11MH30001&src=subcat
Wodehouse Wall Desk (Walnut Finish),,,"₹7,699",,,,https://www.urbanladder.com/products/wodehouse-desk?sku=FNTBST12WL30061&src=subcat
Arabia Study Table (Teak Finish),,,"₹10,999",,,,https://www.urbanladder.com/products/arabia-study-table?sku=FNTBST11TK10498&src=room
Austen Compact Desk (Two-Tone Finish),,"₹11,399","₹9,119",20% Off,,,https://www.urbanladder.com/products/austen-compact-desk-two-tone?sku=FNTBST11TK30001&src=subcat
Larsson Study Table (Teak Finish),,,"₹13,999",,,,https://www.urbanladder.com/products/larsson-study-table?sku=FNTBST11TK10075&src=room
Angelou Study Desk (Walnut Finish),,,"₹16,599",,,,https://www.urbanladder.com/products/angelou-study-desk?sku=FNTBST12WL30064&src=room
"Bradbury Desk (Large Size, Mango Mahogany Finish)",,"₹21,999","₹18,699",15% Off,,,https://www.urbanladder.com/products/bradbury-desk?sku=FNTBST12MH10094&src=subcat
"Bradbury Desk (Large Size, Amber Walnut Finish)",,"₹21,999","₹18,699",15% Off,,,https://www.urbanladder.com/products/bradbury-desk?sku=FNTBST12TK10094&src=subcat
Corneo Study Table (Teak Finish),,,"₹9,499",,,,https://www.urbanladder.com/products/corneo-study-table?sku=FNTBST11TK13005&src=room
Jeremy Study Table (Walnut Finish),,,"₹13,499",,,,https://www.urbanladder.com/products/jeremy-study-table?sku=FNTBST12WL10090&src=room
"Roswell Study Desk (Teak Finish, White)",,,"₹13,499",,,,https://www.urbanladder.com/products/roswell-study-desk-drawers?sku=FNTBST11WH10004&src=room
Dickens Corner Desk (Mahogany Finish),,"₹26,299","₹21,039",20% Off,,,https://www.urbanladder.com/products/dickens-corner-desk?sku=FNTBST11MH30043&src=subcat
Dickens Corner Desk (Teak Finish),,"₹26,299","₹21,039",20% Off,,,https://www.urbanladder.com/products/dickens-corner-desk?sku=FNTBST11TK30043&src=subcat
"Eddings Glass Top Study Table (Without Keyboard Tray Configuration, Honey Walnut Finish)",,"₹20,999","₹17,849",15% Off,,,https://www.urbanladder.com/products/eddings-study-table?sku=FNTBST41HW30182&src=subcat
Malabar Compact Study Table (Amber Walnut Finish),,,"₹14,499",,,,https://www.urbanladder.com/products/malabar-compact-study-table?sku=FNTBST12TK10099&src=room
"Truman Study Table (Teak Finish, Creamy Crust)",,,"₹15,999",,,,https://www.urbanladder.com/products/truman-study-table?sku=FNTBST11TK30072&src=room
Malabar Compact Study Table (Amber Walnut Finish),,,"₹14,499",,,,https://www.urbanladder.com/products/malabar-compact-study-table?sku=FNTBST12TK10099&src=room
Grisham Wall Mounted Study Table (Amber Walnut Finish),,,"₹6,899",,,,https://www.urbanladder.com/products/grisham-wall-mounted-study-table?sku=FNTBST43AW10089&src=room
"Eddings Glass Top Study Table (Without Keyboard Tray Configuration, Honey Walnut Finish)",,"₹20,999","₹17,849",15% Off,,,https://www.urbanladder.com/products/eddings-study-table?sku=FNTBST41HW30182&src=subcat
Terry Study Table (English Walnut Finish),,,"₹12,499",,,,https://www.urbanladder.com/products/terry-study-table?sku=FNTBST43EW30080&src=room
Terry Study Table (Honey Walnut Finish),,,"₹12,499",,,,https://www.urbanladder.com/products/terry-study-table?sku=FNTBST43HW30080&src=room
Terry Study Table (Golden Oak Finish),,,"₹13,499",,,,https://www.urbanladder.com/products/terry-study-table?sku=FNTBST43GO30080&src=room
"Agatha Study Table (Dark Walnut Finish, Without Hutch Structure)",,,"₹14,999",,,,https://www.urbanladder.com/products/agatha-study-table-fncomb15dxx2040?sku=FNTBST15DW10095&src=room
"Agatha Study Table (Dark Walnut Finish, With Hutch Structure)",,,"₹23,698",,,,https://www.urbanladder.com/products/agatha-study-table-fncomb15dxx2040?sku=FNCOMB15DW32040&src=room
"Tolstoy - Venturi Study Set (Aqua, Dark Walnut Finish)",,"₹25,998","₹20,798",20% Off,,,https://www.urbanladder.com/products/tolstoy-venturi-study-set?src=locations-study
"Tolstoy - Venturi Study Set (Carbon Black, Dark Walnut Finish)",,"₹25,998","₹22,998",11% Off,,,https://www.urbanladder.com/products/tolstoy-venturi-study-set?src=room
"Austen Compact - Aurelio Study Sets (Two-Tone Finish, Sandstorm)",,"₹19,998","₹16,428",18% Off,,,https://www.urbanladder.com/products/austen-compact-aurelio-study-sets?src=room
"Austen Compact - Aurelio Study Sets (Mahogany Finish, Olive)",,"₹20,098","₹16,078",20% Off,,,https://www.urbanladder.com/products/austen-compact-aurelio-study-sets?src=locations-study-home-office-tables
"Wodehouse  - Aurelio Study Set (Walnut Finish, Olive)",,"₹16,298","₹14,578",10% Off,,,https://www.urbanladder.com/products/wodehouse-aurelio-study-set?src=room
