name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Afreen  Table Lamp (Multicolored Finish),,"₹5,224","₹4,179",20% Off,,,https://www.urbanladder.com/products/afreen-table-lamp?sku=ACLTTL12LT30685&src=room
Pingle  Table Lamp (White Finish),,"₹5,414","₹3,789",30% Off,,,https://www.urbanladder.com/products/pingle-table-lamp?sku=ACLTTL12LT30689&src=room
Alden  Table Lamp (White Finish),,"₹4,939","₹3,457",30% Off,,,https://www.urbanladder.com/products/alden-table-lamp?sku=ACLTTL60LT30687&src=room
Dalen Table Lamp (Black Finish),,"₹5,224","₹4,179",20% Off,,,https://www.urbanladder.com/products/dalen-table-lamp?sku=ACLTHG85CP10121&src=room
Miray Table Lamp (Green Finish),,₹809,₹687,15% Off,,,https://www.urbanladder.com/products/miray-table-lamp?sku=ACLTTL85CP10808&src=room
Topeka Table Lamp (White),,"₹7,499","₹5,999",20% Off,,,https://www.urbanladder.com/products/topeka-table-lamp?sku=ACLTTL63BK10775&src=room
Belinay Table Lamp (Red Finish),,₹809,₹647,20% Off,,,https://www.urbanladder.com/products/belinay-table-lamp?sku=ACLTTL85CP10820&src=room
"Hector Table Lamp (Brown, Cotton Shade Material)",,"₹7,999","₹6,799",15% Off,,,https://www.urbanladder.com/products/hector-table-lamp?sku=ACLTTL62BR10691&src=room
Defne Table Lamp (White Finish),,₹809,₹566,30% Off,,,https://www.urbanladder.com/products/defne-table-lamp?sku=ACLTTL85CP10814&src=room
Defne Table Lamp (Multicolored Finish),,₹809,₹566,30% Off,,,https://www.urbanladder.com/products/defne-table-lamp?sku=ACLTTL85CP10813&src=room
Buglem Table Lamp (White Finish),,"₹1,529","₹1,223",20% Off,,,https://www.urbanladder.com/products/buglem-table-lamp?sku=ACLTTL85CP10828&src=room
Azra Table Lamp (Blue Finish),,₹809,₹647,20% Off,,,https://www.urbanladder.com/products/azra-table-lamp?sku=ACLTTL85CP10810&src=room
Melek Table Lamp (White Finish),,"₹1,529","₹1,070",30% Off,,,https://www.urbanladder.com/products/melek-table-lamp?sku=ACLTTL85CP10829&src=locations-home-decor
Louvre Table Lamp (Multicolored Finish),,"₹5,509","₹3,856",30% Off,,,https://www.urbanladder.com/products/louvre-table-lamp?sku=ACLTTL85LT30678&src=room
Belinay Table Lamp (Blue Finish),,₹809,₹566,30% Off,,,https://www.urbanladder.com/products/belinay-table-lamp?sku=ACLTTL85CP10818&src=room
"Orion Table Lamp (Natural, White Shade Colour)",,"₹2,089","₹1,253",40% Off,,,https://www.urbanladder.com/products/orion-table-lamp?sku=ACLTTL62NA16516&src=subcat
Defne Table Lamp (Red Finish),,₹809,₹647,20% Off,,,https://www.urbanladder.com/products/defne-table-lamp?sku=ACLTTL85CP10812&src=room
Sumeya Table Lamp (Grey Finish),,,"₹1,529",,,,https://www.urbanladder.com/products/sumeya-table-lamp?sku=ACLTTL85CP10830&src=subcat
Ori Table Lamp (Gold Finish),,"₹3,989","₹2,792",30% Off,,,https://www.urbanladder.com/products/ori-table-lamp?sku=ACLTHG85CP10131&src=room
"Cher Table Lamp (Black Shade Colour, Walnut)",,"₹2,849","₹1,994",30% Off,,,https://www.urbanladder.com/products/cher-table-lamp?sku=ACLTTL62WL11511&src=room
Kaya Table Lamp (Natural Finish),,"₹4,844","₹3,390",30% Off,,,https://www.urbanladder.com/products/kaya-table-lamp?sku=ACLTTL85LT30679&src=room
Fatma Table Lamp (Blue Finish),,"₹1,799","₹1,259",30% Off,,,https://www.urbanladder.com/products/fatma-table-lamp?sku=ACLTTL85CP10833&src=room
Azra Table Lamp (Pink Finish),,₹809,₹566,30% Off,,,https://www.urbanladder.com/products/azra-table-lamp?sku=ACLTTL85CP10811&src=locations-home-decor
Loko Table Lamp (Multicolored Finish),,"₹4,559","₹3,647",20% Off,,,https://www.urbanladder.com/products/loko-table-lamp?sku=ACLTHG85CP10113&src=room
Dhola Table  Lamp (White Finish),,"₹4,844","₹4,117",15% Off,,,https://www.urbanladder.com/products/dhola-table-lamp?sku=ACLTHG85CP10192&src=room
Metropolis Table Lamp (Gold Finish),,"₹4,369","₹3,058",30% Off,,,https://www.urbanladder.com/products/metropolis-table-lamp?sku=ACLTHG85CP10179&src=room
Elanur Table Lamp (Orange Finish),,₹989,₹791,20% Off,,,https://www.urbanladder.com/products/elanur-table-lamp?sku=ACLTTL85CP10838&src=subcat
Chicago  Table Lamp (Gold Finish),,"₹4,844","₹3,390",30% Off,,,https://www.urbanladder.com/products/chicago-table-lamp?sku=ACLTHG85CP10197&src=room
Lisa Table Lamp (Green Finish),,"₹7,029","₹4,920",30% Off,,,https://www.urbanladder.com/products/lisa-table-lamp?sku=ACLTTL85LT30681&src=room
Chrysler Table Lamp (Black Finish),,"₹5,224","₹3,656",30% Off,,,https://www.urbanladder.com/products/chrysler-table-lamp?sku=ACLTHG85CP10177&src=room
Yaren Table Lamp (Black Finish),,₹859,₹601,30% Off,,,https://www.urbanladder.com/products/yaren-table-lamp?sku=ACLTTL85CP10848&src=room
Lisa Table Lamp (Green Finish),,"₹7,029","₹4,920",30% Off,,,https://www.urbanladder.com/products/lisa-table-lamp?sku=ACLTTL85LT30681&src=room
"Roman Table Lamp (Brown, Black Shade Colour, Cotton Shade Material)",,"₹8,499","₹7,224",15% Off,,,https://www.urbanladder.com/products/roman-table-lamp?sku=ACLTTL62BR10752&src=room
"Berna Table Lamp (Cotton Shade Material, Beige Shade Colour, Champagne)",,"₹7,499","₹6,374",15% Off,,,https://www.urbanladder.com/products/berna-table-lamp?sku=ACLTTL71CL10632&src=subcat
"Whirlpool Table Lamp (Grey, White Shade Colour, Cotton Shade Material)",,"₹4,999","₹4,249",15% Off,,,https://www.urbanladder.com/products/whirlpool-table-lamp?sku=ACLTTL71GY10781&src=room
"Norton Table Lamp (Clear, Black Shade Colour, Cotton Shade Material)",,"₹13,999","₹11,199",20% Off,,,https://www.urbanladder.com/products/norton-table-lamp?sku=ACLTTL71CL10733&src=room
"Poppy Table Lamp (White Shade Colour, Cotton Shade Material, Chrome)",,"₹7,299","₹5,839",20% Off,,,https://www.urbanladder.com/products/poppy-table-lamp?sku=ACLTTL60CR10746&src=room
"Riga Table Lamp (Cotton Shade Material, Maroon Shade Colour, Champagne)",,"₹7,499","₹5,999",20% Off,,,https://www.urbanladder.com/products/riga-table-lamp?sku=ACLTTL71CL10750&src=subcat
Speckle Table Lamp Square (Gold Finish),,"₹4,559","₹3,191",30% Off,,,https://www.urbanladder.com/products/speckle-table-lamp-square?sku=ACLTHG85CP10118&src=room
Athena  Table Lamp White (Mango Wood Finish),,"₹5,224","₹3,656",30% Off,,,https://www.urbanladder.com/products/athena-table-lamp-white?sku=ACLTHG85CP10143&src=room
"Isla Table Lamp (Black Shade Colour, Cotton Shade Material, Chrome)",,"₹4,499","₹3,599",20% Off,,,https://www.urbanladder.com/products/isla-table-lamp?sku=ACLTTL60CR10698&src=room
