name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Zuri Wall Mirror (White),,"₹6,300","₹4,410",30% Off,,,https://www.urbanladder.com/products/zuri-wall-mirror?sku=ACMRXX71WH10346&src=room
Jacob Wall Mirror (Gold),,,"₹6,615",,,,https://www.urbanladder.com/products/jacob-wall-mirror?sku=ACMRXX71GD10350&src=room
MoonSun Rays Wall Mirror,,"₹8,820","₹6,174",30% Off,,,https://www.urbanladder.com/products/moonsun-rays-wall-mirror?sku=ACMRXX71ML10364&src=locations-home-decor
Harper Big Wall Mirror (Gold),,"₹6,930","₹4,851",30% Off,,,https://www.urbanladder.com/products/harper-big-wall-mirror?sku=ACMRXX71GD10349&src=room
Gabe Wall Mirror (Gold),,"₹10,080","₹7,056",30% Off,,,https://www.urbanladder.com/products/gabe-wall-mirror?sku=ACMRXX71GD10357&src=subcat
Tulja Big Wall Mirror,,"₹9,198","₹6,438",30% Off,,,https://www.urbanladder.com/products/tulja-big-wall-mirror?sku=ACMRXX71ML10344&src=subcat
Atha Wall Mirror (Gold),,"₹5,670","₹3,969",30% Off,,,https://www.urbanladder.com/products/atha-wall-mirror?sku=ACMRXX71GD10363&src=room
Cora Wall Mirror (Green),,"₹3,182","₹2,227",30% Off,,,https://www.urbanladder.com/products/cora-wall-mirror?sku=ACMRCR11GR10171&src=room
Cora Wall Mirror (White),,"₹2,754","₹1,652",40% Off,,,https://www.urbanladder.com/products/cora-wall-mirror?sku=ACMRCR41WH10175&src=room
Cora Wall Mirror (Yellow),,"₹2,849","₹1,994",30% Off,,,https://www.urbanladder.com/products/cora-wall-mirror?sku=ACMRCR11YL10173&src=room
Maaya Wall Mirror,New Arrival,,"₹13,491",,,,https://www.urbanladder.com/products/maaya-wall-mirror?sku=HDWDWA85ML01545&src=subcat
Avel Wall Mirror (Green),,"₹3,799","₹2,659",30% Off,,,https://www.urbanladder.com/products/avel-wall-mirror?sku=ACMRCR12GR10183&src=subcat
Cora Wall Mirror (Teal),,"₹3,182","₹2,227",30% Off,,,https://www.urbanladder.com/products/cora-wall-mirror?sku=ACMRCR11TL10180&src=room
Reflections Wall Mirror,,"₹10,799","₹7,559",30% Off,,,https://www.urbanladder.com/products/reflections-wall-mirror?sku=ACMRCR41ML10170&src=subcat
Viktor Wall Mirror (Natural),,"₹6,649","₹4,654",30% Off,,,https://www.urbanladder.com/products/viktor-wall-mirror?sku=ACMRCR41NA10186&src=subcat
Imrana Wall Mirror (Natural),,"₹6,649","₹5,319",20% Off,,,https://www.urbanladder.com/products/imrana-wall-mirror?sku=ACMRCR12NA10188&src=room
Cora Wall Mirror (Red),,"₹2,849","₹1,994",30% Off,,,https://www.urbanladder.com/products/cora-wall-mirror?sku=ACMRCR11RD10174&src=subcat
Padma Wall Mirror,,"₹13,491","₹6,745",50% Off,,,https://www.urbanladder.com/products/padma-wall-mirror?sku=HDWDWA85ML01546&src=subcat
Thea Wall Mirror (Green),,"₹3,039","₹1,519",50% Off,,,https://www.urbanladder.com/products/thea-wall-mirror?sku=ACMRCR11GR10172&src=subcat
Kyoto Wall Mirror (Black Finish),,"₹7,789","₹6,620",15% Off,,,https://www.urbanladder.com/products/kyoto-wall-mirror?sku=ACMRCR61BK10158&src=subcat
Ava Wall Mirror (Green),,"₹11,689","₹9,351",20% Off,,,https://www.urbanladder.com/products/ava-wall-mirror?sku=ACMRCR12GR10182&src=room
Venus Wall Mirror (Teak Finish),Best Seller,,"₹5,299",,,,https://www.urbanladder.com/products/venus-wall-mirror?sku=ACMRRC11TK30022&src=subcat
Pearl Wall Mirror (White),,"₹5,984","₹4,787",20% Off,,,https://www.urbanladder.com/products/pearl-wall-mirror?sku=ACMRCR41WH10185&src=room
Cartwheel Wall Mirror,,"₹6,269","₹5,015",20% Off,,,https://www.urbanladder.com/products/cartwheel-wall-mirror?sku=ACMRCR12ML10181&src=subcat
Thea Wall Mirror (Red),,"₹2,564","₹1,794",30% Off,,,https://www.urbanladder.com/products/thea-wall-mirror?sku=ACMRCR11RD10176&src=room
Thea Wall Mirror (Teal),,"₹3,039","₹2,431",20% Off,,,https://www.urbanladder.com/products/thea-wall-mirror?sku=ACMRCR41TL10179&src=room
Oriel Wall Mirror (Natural),,"₹19,394","₹16,484",15% Off,,,https://www.urbanladder.com/products/oriel-wall-mirror?sku=ACMRCR11NA10187&src=subcat
Imaan Wall Mirror (Natural),,"₹7,457","₹5,219",30% Off,,,https://www.urbanladder.com/products/imaan-wall-mirror?sku=ACMRCR12NA10189&src=subcat
Argus Wall Mirror (Teal),,"₹18,269","₹14,615",20% Off,,,https://www.urbanladder.com/products/argus-wall-mirror?sku=ACMRCR12TL10191&src=room
Minaret Wall Mirror (Natural),,"₹4,464","₹3,124",30% Off,,,https://www.urbanladder.com/products/minaret-wall-mirror?sku=ACMRCR41NA10184&src=subcat
Minaret Wall Mirror (Natural),,"₹4,464","₹3,124",30% Off,,,https://www.urbanladder.com/products/minaret-wall-mirror?sku=ACMRCR41NA10184&src=subcat
Amor Wall Mirror (Black Finish),,,"₹7,499",,,,https://www.urbanladder.com/products/amor-wall-mirror?sku=ACMRCR41BR10133&src=locations-bedroom-furniture
Harper Small Wall Mirror (Gold),,"₹5,796","₹4,057",30% Off,,,https://www.urbanladder.com/products/harper-small-wall-mirror?sku=ACMRXX71GD10348&src=room
Waves Full Length Wall Mirror (Natural),,"₹22,499","₹17,999",20% Off,,,https://www.urbanladder.com/products/waves-full-length-wall-mirror?sku=ACMRCR12NA10192&src=room
Kyoto Wall Mirror - Set of 3 (Black Finish),,"₹8,264","₹7,024",15% Off,,,https://www.urbanladder.com/products/kyoto-wall-mirror-set-of-3?sku=ACMRCR61BK10159&src=subcat
"Honeycomb Wall Mirror (Antique Brass Finish, Round Shape)",,"₹7,409","₹5,186",30% Off,,,https://www.urbanladder.com/products/honeycomb-wall-mirror?sku=ACMRCR61BS10155&src=room
"Ramon Wall Mirror (Dark Walnut Finish, Hexagon Shape)",,"₹3,419","₹2,906",15% Off,,,https://www.urbanladder.com/products/ramon-wall-mirror?sku=ACMRCR12DW10167&src=room
Dona Wall Mirror,,,"₹11,970",,,,https://www.urbanladder.com/products/dona-wall-mirror?sku=ACMRXX71ML10341&src=room
Porcupine Wall Mirror,,,"₹25,200",,,,https://www.urbanladder.com/products/porcupine-wall-mirror?sku=ACMRXX71ML10361&src=room
Levi Wall Mirror (Gold),,,"₹9,765",,,,https://www.urbanladder.com/products/levi-wall-mirror?sku=ACMRXX71GD10351&src=room
Holden Wall Mirror (Gold),,,"₹7,560",,,,https://www.urbanladder.com/products/holden-wall-mirror?sku=ACMRXX71GD10354&src=room
Tara Wall Mirror (Gold),,,"₹8,820",,,,https://www.urbanladder.com/products/tara-wall-mirror?sku=ACMRXX71GD10362&src=room
Hamlet Wall Mirror (Gold),,,"₹9,198",,,,https://www.urbanladder.com/products/hamlet-wall-mirror?sku=ACMRXX71GD10356&src=room
Leela Wall Mirror (Gold),,,"₹8,316",,,,https://www.urbanladder.com/products/leela-wall-mirror?sku=ACMRXX71GD10359&src=room
Eric Wall Mirror (Gold),,,"₹7,875",,,,https://www.urbanladder.com/products/eric-wall-mirror?sku=ACMRXX71GD10353&src=room
Sarooj Wall Mirror (Gold),,,"₹8,316",,,,https://www.urbanladder.com/products/sarooj-wall-mirror?sku=ACMRXX71GD10360&src=room
Anja Wall Mirror (Gold),,,"₹10,080",,,,https://www.urbanladder.com/products/anja-wall-mirror?sku=ACMRXX71GD10347&src=room
"Kyoto Mesh Wall Mirror (Black Finish, Round Shape)",,"₹8,074","₹5,651",30% Off,,,https://www.urbanladder.com/products/kyoto-mesh-wall-mirror?sku=ACMRCR61BK10157&src=room
Nash Wall Mirror (Gold),,,"₹8,190",,,,https://www.urbanladder.com/products/nash-wall-mirror?sku=ACMRXX71GD10355&src=room
Cam Wall Mirror (Gold),,,"₹8,820",,,,https://www.urbanladder.com/products/cam-wall-mirror?sku=ACMRXX71GD10358&src=room
Como Small Wall Mirror (Gold),,,"₹5,544",,,,https://www.urbanladder.com/products/como-small-wall-mirror?sku=ACMRXX71GD10342&src=room
Como Big Wall Mirror (White),,,"₹7,245",,,,https://www.urbanladder.com/products/como-big-wall-mirror?sku=ACMRXX71WH10343&src=room
Thea Wall Mirror (White),,"₹2,564","₹2,051",,,,https://www.urbanladder.com/products/thea-wall-mirror?sku=ACMRCR11WH10177&src=room
Leo Round Wall Mirror (Gold),,,"₹8,820",,,,https://www.urbanladder.com/products/leo-round-wall-mirror?sku=ACMRXX71GD10352&src=room
Ida Wall Mirror (White),,,"₹3,229",,,,https://www.urbanladder.com/products/ida-wall-mirror?sku=ACMRCR41WH10190&src=room
"Marina Wall Mirror (Gold Finish, Round Shape)",,,"₹5,034",,,,https://www.urbanladder.com/products/marina-wall-mirror?sku=ACMRCR61GD10164&src=room
Thea Wall Mirror (Yellow),,,"₹3,039",,,,https://www.urbanladder.com/products/thea-wall-mirror?sku=ACMRCR11YL10178&src=room
Waves Wall Mirror (White),,"₹22,499","₹17,999",,,,https://www.urbanladder.com/products/waves-wall-mirror?sku=ACMRCR12WH10193&src=room
Falcon Wall Mirror (Ivory Finish),,,"₹6,459",,,,https://www.urbanladder.com/products/falcon-wall-mirror?sku=ACMRCR61GD10152&src=room
"Pukim Wall Mirror (Copper Finish, Round Shape)",,,"₹5,034",,,,https://www.urbanladder.com/products/pukim-wall-mirror?sku=ACMRCR61CU10165&src=room
"Louvre Wall Mirror (Black Finish, Round Shape)",,"₹8,929","₹7,589",,,,https://www.urbanladder.com/products/louvre-wall-mirror?sku=ACMRCR61BK10160&src=room
"Mallawi Wall Mirror (Beige Finish, Pentagon Shape)",,,"₹9,214",,,,https://www.urbanladder.com/products/mallawi-wall-mirror?sku=ACMRCR61BG10163&src=room
Falcon Wall Mirror - Set of 3 (Ivory Finish),,,"₹9,119",,,,https://www.urbanladder.com/products/falcon-wall-mirror-set-of-3?sku=ACMRCR61GD10153&src=room
"Louvre Wall Mirror - Set of 3 (Black Finish, Round Shape)",,"₹7,599","₹6,459",,,,https://www.urbanladder.com/products/louvre-wall-mirror-set-of-3?sku=ACMRCR61BK10161&src=room
Cara Bathroom Mirror (Silver),,"₹13,530","₹9,471",30% Off,,,https://www.urbanladder.com/products/cara-bathroom-mirror?sku=HDBAMRGLXSLS018&src=room
Cala Bathroom Mirror (Silver),,"₹12,555","₹8,788",30% Off,,,https://www.urbanladder.com/products/cala-bathroom-mirror?sku=HDBAMRGLXSLS017&src=room
Fenton Bathroom Mirror (Black),,"₹26,999","₹18,899",30% Off,,,https://www.urbanladder.com/products/fenton-bathroom-mirror?sku=HDBAMRGLXBKS061&src=room
Florian Bathroom Mirror (Beige),,"₹26,999","₹22,949",15% Off,,,https://www.urbanladder.com/products/florian-bathroom-mirror?sku=HDBAMRGLXBGS063&src=room
Finola Bathroom Mirror (White),,"₹26,999","₹18,899",30% Off,,,https://www.urbanladder.com/products/finola-bathroom-mirror?sku=HDBAMRGLXWHS062&src=room
Evander Bathroom Mirror (Brown),,"₹26,999","₹18,899",30% Off,,,https://www.urbanladder.com/products/evander-bathroom-mirror?sku=HDBAMRGLXBRS060&src=room
Ellison Bathroom Mirror (Silver),,"₹2,200","₹1,760",20% Off,,,https://www.urbanladder.com/products/ellison-bathroom-mirror?sku=HDBAMRGLXSLS055&src=room
Deandra Bathroom Mirror (Silver),,"₹3,399","₹2,379",30% Off,,,https://www.urbanladder.com/products/deandra-bathroom-mirror?sku=HDBAMRGLXSLS037&src=room
Esperanza Bathroom Mirror (Silver),,"₹4,999","₹3,999",20% Off,,,https://www.urbanladder.com/products/esperanza-bathroom-mirror?sku=HDBAMRGLXSLS059&src=room
Danica Bathroom Mirror (Silver),,,"₹2,999",,,,https://www.urbanladder.com/products/danica-bathroom-mirror?sku=HDBAMRGLXSLS031&src=room
Emmett Bathroom Mirror (Silver),,"₹3,399","₹2,719",20% Off,,,https://www.urbanladder.com/products/emmett-bathroom-mirror?sku=HDBAMRGLXSLS057&src=room
Dempsey Bathroom Mirror (Silver),,"₹3,399","₹2,719",20% Off,,,https://www.urbanladder.com/products/dempsey-bathroom-mirror?sku=HDBAMRGLXSLS038&src=room
Eleora Bathroom Mirror (Silver),,"₹8,999","₹7,649",15% Off,,,https://www.urbanladder.com/products/eleora-bathroom-mirror?sku=HDBAMRGLXSLS053&src=room
Emile Bathroom Mirror (Silver),,,"₹2,699",,,,https://www.urbanladder.com/products/emile-bathroom-mirror?sku=HDBAMRGLXSLS056&src=room
Daria Bathroom Mirror (Silver),,"₹2,699","₹2,159",20% Off,,,https://www.urbanladder.com/products/daria-bathroom-mirror?sku=HDBAMRGLXSLS032&src=room
Dianthe Bathroom Mirror (Silver),,"₹4,219","₹3,375",20% Off,,,https://www.urbanladder.com/products/dianthe-bathroom-mirror?sku=HDBAMRGLXSLS043&src=room
Enzo Bathroom Mirror (Silver),,"₹3,399","₹2,379",30% Off,,,https://www.urbanladder.com/products/enzo-bathroom-mirror?sku=HDBAMRGLXSLS058&src=locations-home-decor
Dmitry Bathroom Mirror (Silver),,"₹5,499","₹4,674",15% Off,,,https://www.urbanladder.com/products/dmitry-bathroom-mirror?sku=HDBAMRGLXSLS050&src=room
Catalina Bathroom Mirror (Silver),,"₹15,499","₹10,849",30% Off,,,https://www.urbanladder.com/products/catalina-bathroom-mirror?sku=HDBAMRGLXSLS019&src=subcat
Coco Bathroom Mirror (Cream),,"₹16,499","₹11,549",30% Off,,,https://www.urbanladder.com/products/coco-bathroom-mirror?sku=HDBAMRGLXCRS021&src=room
Chiara Bathroom Mirror (Silver),,"₹14,599","₹10,219",30% Off,,,https://www.urbanladder.com/products/chiara-bathroom-mirror?sku=HDBAMRGLXSLS020&src=room
