name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Gabe Wall Mirror (Gold),,,"₹10,080",,,,https://www.urbanladder.com/products/gabe-wall-mirror?sku=ACMRXX71GD10357&src=subcat
MoonSun Rays Wall Mirror,,,"₹8,820",,,,https://www.urbanladder.com/products/moonsun-rays-wall-mirror?sku=ACMRXX71ML10364&src=subcat
Jacob Wall Mirror (Gold),,,"₹6,615",,,,https://www.urbanladder.com/products/jacob-wall-mirror?sku=ACMRXX71GD10350&src=room
Tulja Big Wall Mirror,,,"₹9,198",,,,https://www.urbanladder.com/products/tulja-big-wall-mirror?sku=ACMRXX71ML10344&src=subcat
Zuri Wall Mirror (White),,,"₹6,300",,,,https://www.urbanladder.com/products/zuri-wall-mirror?sku=ACMRXX71WH10346&src=room
Harper Big Wall Mirror (Gold),,,"₹6,930",,,,https://www.urbanladder.com/products/harper-big-wall-mirror?sku=ACMRXX71GD10349&src=room
Imaan Wall Mirror (Natural),,,"₹7,457",,,,https://www.urbanladder.com/products/imaan-wall-mirror?sku=ACMRCR12NA10189&src=room
Oriel Wall Mirror (Natural),,,"₹19,394",,,,https://www.urbanladder.com/products/oriel-wall-mirror?sku=ACMRCR11NA10187&src=subcat
Padma Wall Mirror,,,"₹13,491",,,,https://www.urbanladder.com/products/padma-wall-mirror?sku=HDWDWA85ML01546&src=subcat
Cartwheel Wall Mirror,,"₹6,269","₹5,015",20% Off,,,https://www.urbanladder.com/products/cartwheel-wall-mirror?sku=ACMRCR12ML10181&src=subcat
Avel Wall Mirror (Green),,"₹3,799","₹2,659",30% Off,,,https://www.urbanladder.com/products/avel-wall-mirror?sku=ACMRCR12GR10183&src=subcat
Venus Wall Mirror (Mahogany Finish),,"₹5,299","₹4,239",20% Off,,,https://www.urbanladder.com/products/venus-wall-mirror?sku=ACMRRC11MH30022&src=subcat
Maaya Wall Mirror,,,"₹13,491",,,,https://www.urbanladder.com/products/maaya-wall-mirror?sku=HDWDWA85ML01545&src=subcat
Reflections Wall Mirror,,"₹10,799","₹7,559",30% Off,,,https://www.urbanladder.com/products/reflections-wall-mirror?sku=ACMRCR41ML10170&src=subcat
Argus Wall Mirror (Teal),,"₹18,269","₹14,615",20% Off,,,https://www.urbanladder.com/products/argus-wall-mirror?sku=ACMRCR12TL10191&src=room
Minaret Wall Mirror (Natural),,"₹4,464","₹3,124",30% Off,,,https://www.urbanladder.com/products/minaret-wall-mirror?sku=ACMRCR41NA10184&src=subcat
Ava Wall Mirror (Green),,"₹11,689","₹9,351",20% Off,,,https://www.urbanladder.com/products/ava-wall-mirror?sku=ACMRCR12GR10182&src=room
Kyoto Wall Mirror (Black Finish),,"₹7,789","₹6,620",15% Off,,,https://www.urbanladder.com/products/kyoto-wall-mirror?sku=ACMRCR61BK10158&src=subcat
Imrana Wall Mirror (Natural),,"₹6,649","₹5,319",20% Off,,,https://www.urbanladder.com/products/imrana-wall-mirror?sku=ACMRCR12NA10188&src=room
Viktor Wall Mirror (Natural),,,"₹6,649",,,,https://www.urbanladder.com/products/viktor-wall-mirror?sku=ACMRCR41NA10186&src=subcat
Venus Wall Mirror (Teak Finish),Best Seller,,"₹5,299",,,,https://www.urbanladder.com/products/venus-wall-mirror?sku=ACMRRC11TK30022&src=subcat
Amor Wall Mirror (Black Finish),,,"₹7,499",,,,https://www.urbanladder.com/products/amor-wall-mirror?sku=ACMRCR41BR10133&src=subcat
Harper Small Wall Mirror (Gold),,,"₹5,796",,,,https://www.urbanladder.com/products/harper-small-wall-mirror?sku=ACMRXX71GD10348&src=subcat
Waves Full Length Wall Mirror (Natural),Only 1 Left,,"₹22,499",,,,https://www.urbanladder.com/products/waves-full-length-wall-mirror?sku=ACMRCR12NA10192&src=room
Kyoto Wall Mirror - Set of 3 (Black Finish),,"₹8,264","₹7,024",15% Off,,,https://www.urbanladder.com/products/kyoto-wall-mirror-set-of-3?sku=ACMRCR61BK10159&src=subcat
"Ramon Wall Mirror (Dark Walnut Finish, Hexagon Shape)",,"₹3,419","₹2,906",15% Off,,,https://www.urbanladder.com/products/ramon-wall-mirror?sku=ACMRCR12DW10167&src=room
"Kyoto Mesh Wall Mirror (Black Finish, Round Shape)",,"₹8,074","₹5,651",30% Off,,,https://www.urbanladder.com/products/kyoto-mesh-wall-mirror?sku=ACMRCR61BK10157&src=room
Anja Wall Mirror (Gold),,,"₹10,080",,,,https://www.urbanladder.com/products/anja-wall-mirror?sku=ACMRXX71GD10347&src=room
Nash Wall Mirror (Gold),,,"₹8,190",,,,https://www.urbanladder.com/products/nash-wall-mirror?sku=ACMRXX71GD10355&src=room
Cam Wall Mirror (Gold),,,"₹8,820",,,,https://www.urbanladder.com/products/cam-wall-mirror?sku=ACMRXX71GD10358&src=room
Porcupine Wall Mirror,,,"₹25,200",,,,https://www.urbanladder.com/products/porcupine-wall-mirror?sku=ACMRXX71ML10361&src=room
Levi Wall Mirror (Gold),,,"₹9,765",,,,https://www.urbanladder.com/products/levi-wall-mirror?sku=ACMRXX71GD10351&src=room
Holden Wall Mirror (Gold),,,"₹7,560",,,,https://www.urbanladder.com/products/holden-wall-mirror?sku=ACMRXX71GD10354&src=room
Tara Wall Mirror (Gold),,,"₹8,820",,,,https://www.urbanladder.com/products/tara-wall-mirror?sku=ACMRXX71GD10362&src=room
Nash Wall Mirror (Gold),,,"₹8,190",,,,https://www.urbanladder.com/products/nash-wall-mirror?sku=ACMRXX71GD10355&src=room
Cam Wall Mirror (Gold),,,"₹8,820",,,,https://www.urbanladder.com/products/cam-wall-mirror?sku=ACMRXX71GD10358&src=room
Anja Wall Mirror (Gold),,,"₹10,080",,,,https://www.urbanladder.com/products/anja-wall-mirror?sku=ACMRXX71GD10347&src=room
