name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
        Putty Blush    ,             New   ,,,"Sale Price₹ 641,00",,4.6 out of 5 stars,133 reviews ,https://www.elfcosmetics.comhttps://www.elfcosmetics.com/en_IN/putty-blush/300170.html?dwvar_300170_Color=Tahiti&cgid=face-blush
        Monochromatic Multi Stick    ,             Best 		Sellers 	   ,,,"Sale Price₹ 428,00",,3.8 out of 5 stars,334 reviews ,https://www.elfcosmetics.comhttps://www.elfcosmetics.com/en_IN/monochromatic-multi-stick/300142.html?dwvar_300142_color=Dazzling%20Peony&cgid=face-blush
        Contouring Blush & Bronzing Powder    ,,,"Original Price₹ 428,00","Sale Price₹ 171,00",,4.1 out of 5 stars,1172 reviews ,https://www.elfcosmetics.comhttps://www.elfcosmetics.com/en_IN/contouring-blush-and-bronzing-powder/300048.html?dwvar_300048_color=St.%20Lucia&cgid=face-blush
        Electric Mood x Pitizion De La Soul Cream Face Quad    ,             New   ,,,"Sale Price₹ 1.282,00",,0.0 out of 5 stars, ,https://www.elfcosmetics.com/en_IN/electric-mood-x-pitizion-de-la-soul-cream-face-quad/82692.html?cgid=face-blush
        Bite-Size Face Duo    ,,,,"Sale Price₹ 321,00",,4.5 out of 5 stars,103 reviews ,https://www.elfcosmetics.comhttps://www.elfcosmetics.com/en_IN/bite-size-face-duo/300187.html?dwvar_300187_color=Spiced%20Apple&cgid=face-blush
        Primer-Infused Blush    ,,,,"Sale Price₹ 641,00",,4.8 out of 5 stars,174 reviews ,https://www.elfcosmetics.comhttps://www.elfcosmetics.com/en_IN/primer-infused-blush/300141.html?dwvar_300141_color=Always%20Rosy&cgid=face-blush
        Blush    ,,,,"Sale Price₹ 321,00",,3.7 out of 5 stars,47 reviews ,https://www.elfcosmetics.comhttps://www.elfcosmetics.com/en_IN/blush/300031.html?dwvar_300031_color=Bright%20Pink&cgid=face-blush
        Luminous Blush    ,,,"Original Price₹ 641,00","Sale Price₹ 257,00",,4.6 out of 5 stars,24 reviews ,https://www.elfcosmetics.comhttps://www.elfcosmetics.com/en_IN/luminous-blush/300150.html?dwvar_300150_color=Luminous%20Bronze&cgid=face-blush
        Powder Blush Palette    ,,,,"Sale Price₹ 855,00",,4.7 out of 5 stars,492 reviews ,https://www.elfcosmetics.comhttps://www.elfcosmetics.com/en_IN/powder-blush-palette/300106.html?dwvar_300106_color=Light&cgid=face-blush
        Baked Highlighter & Blush    ,,,,"Sale Price₹ 428,00",,3.9 out of 5 stars,67 reviews ,https://www.elfcosmetics.com/en_IN/baked-highlighter-and-blush/83371.html?cgid=face-blush
        Matte Blush Duo    ,,,"Original Price₹ 428,00","Sale Price₹ 171,00",,3.9 out of 5 stars,33 reviews ,https://www.elfcosmetics.comhttps://www.elfcosmetics.com/en_IN/matte-blush-duo/300089.html?dwvar_300089_color=Soft%20%26%20Subtle&cgid=face-blush
        Studio Blush    ,,,"Original Price₹ 428,00","Sale Price₹ 171,00",,4.3 out of 5 stars,69 reviews ,https://www.elfcosmetics.comhttps://www.elfcosmetics.com/en_IN/blush/300032.html?dwvar_300032_color=Candid%20Coral&cgid=face-blush
        Primer-Infused Shimmer Blush    ,,,"Original Price₹ 641,00","Sale Price₹ 257,00",,4.7 out of 5 stars,35 reviews ,https://www.elfcosmetics.comhttps://www.elfcosmetics.com/en_IN/primer-infused-shimmer-blush/300160.html?dwvar_300160_color=alwaysbreezy&cgid=face-blush
        Jelly Pop Flush Blush    ,,,"Original Price₹ 641,00","Sale Price₹ 257,00",,3.9 out of 5 stars,70 reviews ,https://www.elfcosmetics.comhttps://www.elfcosmetics.com/en_IN/jelly-pop-flush-blush/300156.html?dwvar_300156_color=peachpop&cgid=face-blush
        Workout Ready Lip & Cheek Palette    ,,,"Original Price₹ 855,00","Sale Price₹ 342,00",,4.5 out of 5 stars,50 reviews ,https://www.elfcosmetics.com/en_IN/workout-ready-lip-and-cheek-palette/58010.html?cgid=face-blush
        Aqua Beauty Blush & Bronzer    ,,,"Original Price₹ 641,00","Sale Price₹ 257,00",,4.4 out of 5 stars,103 reviews ,https://www.elfcosmetics.comhttps://www.elfcosmetics.com/en_IN/aqua-beauty-blush-and-bronzer/300008.html?dwvar_300008_color=Bronzed%20Pink%20Beige&cgid=face-blush
        Feel Your e.l.f. Kit    ,,,"Original Price₹ 1.602,00","Sale Price₹ 641,00",,4.8 out of 5 stars,9 reviews ,https://www.elfcosmetics.com/en_IN/feel-your-e.l.f.-kit/82287.html?cgid=face-blush
