name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
        Putty Primer Brush and Applicator    ,,,,"Sale Price₹ 653,00",,4.6 out of 5 stars,54 reviews ,https://www.elfcosmetics.com/en_IN/putty-primer-applicator/84116.html?cgid=brushes-face-brushes
        Putty & Cream Blush Brush    ,,,,"Sale Price₹ 435,00",,4.5 out of 5 stars,20 reviews ,https://www.elfcosmetics.com/en_IN/putty-blush-brush/84115.html?cgid=brushes-face-brushes
        Concealer & Foundation Complexion Duo Brush    ,,,,"Sale Price₹ 870,00",,3.8 out of 5 stars,25 reviews ,https://www.elfcosmetics.com/en_IN/complexion-duo-brush/84180.html?cgid=brushes-face-brushes
        Buffing Foundation Brush    ,,,,"Sale Price₹ 653,00",,4.2 out of 5 stars,149 reviews ,https://www.elfcosmetics.com/en_IN/buffing-foundation-brush/84039.html?cgid=brushes-face-brushes
        Concealer Brush & Face Sponge Duo    ,,,,"Sale Price₹ 870,00",,4.9 out of 5 stars,20 reviews ,https://www.elfcosmetics.com/en_IN/concealer-brush-and-sponge-duo/84162.html?cgid=brushes-face-brushes
        Ultimate Blending Brush    ,,,,"Sale Price₹ 653,00",,4.6 out of 5 stars,435 reviews ,https://www.elfcosmetics.com/en_IN/ultimate-blending-brush/84034.html?cgid=brushes-face-brushes
        Highlighting Brush    ,   ,['glam-award-19'],,"Sale Price₹ 435,00",,4.4 out of 5 stars,111 reviews ,https://www.elfcosmetics.com/en_IN/highlighting-brush/84041.html?cgid=brushes-face-brushes
        Small Oval Complexion Brush    ,,,,"Sale Price₹ 653,00",,4.7 out of 5 stars,21 reviews ,https://www.elfcosmetics.comhttps://www.elfcosmetics.com/en_IN/oval-complexion-brush/300174.html?dwvar_300174_color=Small&cgid=brushes-face-brushes
        Concealer Brush    ,,,,"Sale Price₹ 218,00",,4.6 out of 5 stars,48 reviews ,https://www.elfcosmetics.com/en_IN/concealer-brush/1821.html?cgid=brushes-face-brushes
        Pointed Powder Brush    ,,,,"Sale Price₹ 653,00",,4.5 out of 5 stars,51 reviews ,https://www.elfcosmetics.com/en_IN/pointed-powder-brush/54047.html?cgid=brushes-face-brushes
        Angled Buffing Brush    ,,,,"Sale Price₹ 653,00",,4.6 out of 5 stars,15 reviews ,https://www.elfcosmetics.com/en_IN/angled-buffing-brush/84181.html?cgid=brushes-face-brushes
        Contouring Brush    ,,,,"Sale Price₹ 653,00",,4.6 out of 5 stars,357 reviews ,https://www.elfcosmetics.com/en_IN/contouring-brush/84035.html?cgid=brushes-face-brushes
        Flawless Concealer Brush    ,,,,"Sale Price₹ 435,00",,4.5 out of 5 stars,169 reviews ,https://www.elfcosmetics.com/en_IN/flawless-concealer-brush/84024.html?cgid=brushes-face-brushes
        Precision Airbrush Stipple    ,,,"Original Price₹ 1.088,00","Sale Price₹ 428,00",,4.5 out of 5 stars,38 reviews ,https://www.elfcosmetics.com/en_IN/precision-airbrush-stipple/85310.html?cgid=brushes-face-brushes
        Blush Brush    ,,,,"Sale Price₹ 435,00",,4.3 out of 5 stars,224 reviews ,https://www.elfcosmetics.com/en_IN/blush-brush/84011.html?cgid=brushes-face-brushes
        Small Stipple Brush    ,,,,"Sale Price₹ 435,00",,4.3 out of 5 stars,227 reviews ,https://www.elfcosmetics.com/en_IN/small-stipple-brush/84025.html?cgid=brushes-face-brushes
        Angled Blush Brush    ,,,,"Sale Price₹ 544,00",,4.6 out of 5 stars,124 reviews ,https://www.elfcosmetics.com/en_IN/angled-blush-brush/84022.html?cgid=brushes-face-brushes
        Small Tapered Brush    ,,,,"Sale Price₹ 435,00",,4.6 out of 5 stars,137 reviews ,https://www.elfcosmetics.com/en_IN/small-tapered-brush/84019.html?cgid=brushes-face-brushes
        Triangular Buffing Foundation Brush    ,,,,"Sale Price₹ 653,00",,4.3 out of 5 stars,17 reviews ,https://www.elfcosmetics.com/en_IN/triangular-buffing-foundation-brush/85106.html?cgid=brushes-face-brushes
        Flawless Face Brush    ,,,,"Sale Price₹ 653,00",,4.5 out of 5 stars,33 reviews ,https://www.elfcosmetics.com/en_IN/flawless-face-brush/84038.html?cgid=brushes-face-brushes
        Complexion Brush    ,,,,"Sale Price₹ 544,00",,4.5 out of 5 stars,368 reviews ,https://www.elfcosmetics.com/en_IN/complexion-brush/84002.html?cgid=brushes-face-brushes
        Retractable Kabuki Brush    ,,,,"Sale Price₹ 653,00",,3.8 out of 5 stars,45 reviews ,https://www.elfcosmetics.com/en_IN/retractable-kabuki-brush/84031.html?cgid=brushes-face-brushes
        Kabuki Face Brush    ,,,,"Sale Price₹ 653,00",,4.7 out of 5 stars,633 reviews ,https://www.elfcosmetics.com/en_IN/kabuki-face-brush/85011.html?cgid=brushes-face-brushes
        Concealer Brush    ,,,,"Sale Price₹ 435,00",,4.4 out of 5 stars,66 reviews ,https://www.elfcosmetics.com/en_IN/concealer-brush/84007.html?cgid=brushes-face-brushes
        Complexion Brush & Sponge Duo    ,,,,"Sale Price₹ 1.088,00",,5.0 out of 5 stars,3 reviews ,https://www.elfcosmetics.com/en_IN/complexion-brush-and-sponge-duo/84160.html?cgid=brushes-face-brushes
        Precision Foundation Swirl Brush    ,,,,"Sale Price₹ 1.088,00",,3.8 out of 5 stars,19 reviews ,https://www.elfcosmetics.com/en_IN/precision-foundation-swirl-brush/85323.html?cgid=brushes-face-brushes
