name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
        Poreless Putty Primer    ,             Holy 		Grail 	   ,,,"Sale Price₹ 962,00",,4.4 out of 5 stars,1024 reviews ,https://www.elfcosmetics.com/en_IN/poreless-putty-primer/85912.html?cgid=face-face-primer
        Jelly Pop Dew Face Primer    ,             Best 		Sellers 	   ,,,"Sale Price₹ 1.068,00",,4.7 out of 5 stars,172 reviews ,https://www.elfcosmetics.com/en_IN/jelly-pop-dew-primer/82248.html/82248.html?cgid=face-face-primer
        Putty Primer Trio    ,,,,"Sale Price₹ 962,00",,4.4 out of 5 stars,42 reviews ,https://www.elfcosmetics.com/en_IN/putty-primer-trio-1/81395.html?cgid=face-face-primer
        Matte Putty Primer    ,             Holy 		Grail 	   ,,,"Sale Price₹ 962,00",,4.0 out of 5 stars,99 reviews ,https://www.elfcosmetics.com/en_IN/matte-putty-primer/85911.html?cgid=face-face-primer
        Mint Melt Cooling Face Primer    ,,,,"Sale Price₹ 855,00",,4.4 out of 5 stars,83 reviews ,https://www.elfcosmetics.com/en_IN/mint-melt-cooling-face-primer/82385.html?cgid=face-face-primer
        Luminous Putty Primer    ,             Holy 		Grail 	   ,,,"Sale Price₹ 962,00",,4.3 out of 5 stars,70 reviews ,https://www.elfcosmetics.com/en_IN/luminous-putty-primer/85910.html?cgid=face-face-primer
        Poreless Face Primer - Travel Size    ,,,,"Sale Price₹ 641,00",,4.4 out of 5 stars,8 reviews ,https://www.elfcosmetics.com/en_IN/poreless-face-primer---travel-size/82564.html?cgid=face-face-primer
        Soothing Primer    ,,,,"Sale Price₹ 748,00",,3.5 out of 5 stars,25 reviews ,https://www.elfcosmetics.com/en_IN/soothing-primer/83207.html?cgid=face-face-primer
        Jelly Pop Mini Kit    ,,,,"Sale Price₹ 1.602,00",,4.4 out of 5 stars,15 reviews ,https://www.elfcosmetics.com/en_IN/jelly-pop-mini-kit/82250.html?cgid=face-face-primer
        Hydrating Primer Serum    ,,,,"Sale Price₹ 1.068,00",,4.9 out of 5 stars,11 reviews ,https://www.elfcosmetics.com/en_IN/hydrating-primer-serum/83616.html?cgid=face-face-primer
        Glow Up Primer Serum    ,,,,"Sale Price₹ 1.068,00",,4.7 out of 5 stars,27 reviews ,https://www.elfcosmetics.com/en_IN/glow-up-primer-serum/83614.html?cgid=face-face-primer
        elf+ Matte Oil-Control Primer    ,,,,"Sale Price₹ 1.068,00",,4.1 out of 5 stars,57 reviews ,https://www.elfcosmetics.com/en_IN/elf%2B-matte-oil-control-primer/91020.html?cgid=face-face-primer
        Puff Puff Primer    ,,,,"Sale Price₹ 855,00",,4.8 out of 5 stars,35 reviews ,https://www.elfcosmetics.com/en_IN/puff-puff-primer/81553.html?cgid=face-face-primer
        Hydrating Face Primer - On the Go    ,,,,"Sale Price₹ 534,00",,3.5 out of 5 stars,4 reviews ,https://www.elfcosmetics.com/en_IN/hydrating-face-primer---on-the-go/81350.html?cgid=face-face-primer
        Mineral Infused Face Primer- Small    ,,,,"Sale Price₹ 748,00",,4.1 out of 5 stars,2253 reviews ,https://www.elfcosmetics.com/en_IN/mineral-infused-face-primer--small/83401.html?cgid=face-face-primer
        Brightening Lavender Face Primer- Small    ,,,,"Sale Price₹ 748,00",,4.1 out of 5 stars,25 reviews ,https://www.elfcosmetics.com/en_IN/brightening-lavender-face-primer--small/83403.html?cgid=face-face-primer
        Poreless Face Primer- Small    ,,,,"Sale Price₹ 748,00",,3.4 out of 5 stars,819 reviews ,https://www.elfcosmetics.com/en_IN/poreless-face-primer--small/83405.html?cgid=face-face-primer
        Poreless Face Primer- Large    ,,,,"Sale Price₹ 1.068,00",,3.5 out of 5 stars,127 reviews ,https://www.elfcosmetics.com/en_IN/poreless-face-primer--large/83409.html?cgid=face-face-primer
        Hydrating Face Primer- Large    ,,,,"Sale Price₹ 1.068,00",,2.8 out of 5 stars,66 reviews ,https://www.elfcosmetics.com/en_IN/hydrating-face-primer--large/83414.html?cgid=face-face-primer
        Hydrating Primer Mist    ,,,,"Sale Price₹ 962,00",,3.3 out of 5 stars,144 reviews ,https://www.elfcosmetics.com/en_IN/hydrating-primer-mist/57028.html?cgid=face-face-primer
        Oil Control Primer Mist    ,,,,"Sale Price₹ 962,00",,4.1 out of 5 stars,71 reviews ,https://www.elfcosmetics.com/en_IN/oil-control-primer-mist/57055.html?cgid=face-face-primer
        Mineral Infused Face Primer- Large    ,,,,"Sale Price₹ 1.068,00",,4.5 out of 5 stars,46 reviews ,https://www.elfcosmetics.com/en_IN/mineral-infused-face-primer--large/83413.html?cgid=face-face-primer
        Hydrating Face Primer- Small    ,,,,"Sale Price₹ 748,00",,3.5 out of 5 stars,354 reviews ,https://www.elfcosmetics.com/en_IN/hydrating-face-primer--small/83406.html?cgid=face-face-primer
        Prep & Hydrate Balm    ,,,,"Sale Price₹ 855,00",,4.4 out of 5 stars,275 reviews ,https://www.elfcosmetics.com/en_IN/prep-and-hydrate-balm/57043.html?cgid=face-face-primer
        Tone Adjusting Face Primer - Small    ,,,,"Sale Price₹ 748,00",,3.5 out of 5 stars,44 reviews ,https://www.elfcosmetics.com/en_IN/tone-adjusting-face-primer---small/83402.html?cgid=face-face-primer
        Illuminating Face Primer    ,,,,"Sale Price₹ 748,00",,3.5 out of 5 stars,64 reviews ,https://www.elfcosmetics.com/en_IN/illuminating-face-primer/83404.html?cgid=face-face-primer
        Tone Adjusting Face Primer - Large    ,,,,"Sale Price₹ 1.068,00",,4.1 out of 5 stars,33 reviews ,https://www.elfcosmetics.com/en_IN/tone-adjusting-face-primer---large/83411.html?cgid=face-face-primer
        Moisture Lock Primer    ,,,,"Sale Price₹ 855,00",,4.1 out of 5 stars,21 reviews ,https://www.elfcosmetics.com/en_IN/moisture-lock-primer/83425.html?cgid=face-face-primer
        Electric Mood x Tiana Illuminating Elixir    ,             New   ,,,"Sale Price₹ 1.495,00",,5.0 out of 5 stars,2 reviews ,https://www.elfcosmetics.com/en_IN/electric-mood-x-tiana-illuminating-elixir/82572.html?cgid=face-face-primer
        Glitter Primer    ,,,,"Sale Price₹ 321,00",,4.6 out of 5 stars,129 reviews ,https://www.elfcosmetics.com/en_IN/glitter-primer/21611.html?cgid=face-face-primer
        Prep & Blur Stick    ,,,"Original Price₹ 855,00","Sale Price₹ 342,00",,3.7 out of 5 stars,55 reviews ,https://www.elfcosmetics.com/en_IN/prep-and-blur-stick/81321.html?cgid=face-face-primer
        Beautifully Bare Luminous Matte Makeup Primer    ,,,"Original Price₹ 855,00","Sale Price₹ 342,00",,3.8 out of 5 stars,83 reviews ,https://www.elfcosmetics.com/en_IN/beautifully-bare-luminous-matte-makeup-primer/95021.html?cgid=face-face-primer
        Jelly Pop Juicy Melon Glow Set    ,             New   ,,,"Sale Price₹ 1.282,00",,0.0 out of 5 stars, ,https://www.elfcosmetics.com/en_IN/jelly-pop-juicy-melon-glow-set/81500.html?cgid=face-face-primer
