name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
        Big Mood Mascara    ,             New   ,,,"Sale Price₹ 762,00",,3.7 out of 5 stars,19 reviews ,https://www.elfcosmetics.comhttps://www.elfcosmetics.com/en_IN/big-mood-mascara/300194.html?dwvar_300194_color=Pitch%20Black&cgid=eyes-mascara
        Big Mood Mascara Bundle    ,             New   ,,,"Sale Price₹ 1.414,00",,5.0 out of 5 stars,3 reviews ,https://www.elfcosmetics.com/en_IN/big-mood-mascara-bundle/81535UP.html?cgid=eyes-mascara
        Lash it Loud Mascara    ,,,,"Sale Price₹ 653,00",,4.1 out of 5 stars,147 reviews ,https://www.elfcosmetics.com/en_IN/lash-it-loud-mascara/81580UP.html?cgid=eyes-mascara
        Keep Your Curl Mascara    ,,,"Original Price₹ 544,00","Sale Price₹ 214,00",,4.3 out of 5 stars,76 reviews ,https://www.elfcosmetics.com/en_IN/keep-your-curl-mascara/81413.html?cgid=eyes-mascara
"        Me, My e.l.f. & Eye Kit    ",,,,"Sale Price₹ 1.632,00",,4.5 out of 5 stars,4 reviews ,https://www.elfcosmetics.com/en_IN/me-my-elf-and-eye-kit/82285.html?cgid=eyes-mascara
        Clear Brow & Lash Mascara    ,,,,"Sale Price₹ 327,00",,4.1 out of 5 stars,684 reviews ,https://www.elfcosmetics.com/en_IN/clear-brow-and-lash-mascara/21663.html?cgid=eyes-mascara
        Lengthening & Volumizing Mascara    ,,,,"Sale Price₹ 435,00",,3.4 out of 5 stars,261 reviews ,https://www.elfcosmetics.com/en_IN/lengthening-and-volumizing-mascara/81401.html?cgid=eyes-mascara
        Lash Extending Mascara    ,,,,"Sale Price₹ 435,00",,3.5 out of 5 stars,182 reviews ,https://www.elfcosmetics.com/en_IN/lash-extending-mascara/81436.html?cgid=eyes-mascara
        Eye Enhancing Mascara    ,,,,"Sale Price₹ 435,00",,3.1 out of 5 stars,88 reviews ,https://www.elfcosmetics.com/en_IN/eye-enhancing-mascara/81452.html?cgid=eyes-mascara
        3-in-1 Mascara    ,,,"Original Price₹ 435,00","Sale Price₹ 171,00",,3.4 out of 5 stars,625 reviews ,https://www.elfcosmetics.com/en_IN/3-in-1-mascara/81454.html?cgid=eyes-mascara
        Waterproof Lengthening & Volumizing Mascara    ,,,,"Sale Price₹ 435,00",,3.7 out of 5 stars,399 reviews ,https://www.elfcosmetics.com/en_IN/waterproof-lengthening-and-volumizing-mascara/81801.html?cgid=eyes-mascara
        Lash it Loud Mascara - Travel Size    ,,,,"Sale Price₹ 435,00",,3.8 out of 5 stars,17 reviews ,https://www.elfcosmetics.com/en_IN/lash-it-loud-mascara-travel-size/50250UP.html?cgid=eyes-mascara
        Mineral Infused Mascara    ,,,,"Sale Price₹ 435,00",,4.1 out of 5 stars,598 reviews ,https://www.elfcosmetics.com/en_IN/mineral-infused-mascara/81453.html?cgid=eyes-mascara
        Volume Plumping Mascara    ,,,,"Sale Price₹ 435,00",,3.3 out of 5 stars,195 reviews ,https://www.elfcosmetics.com/en_IN/volume-plumping-mascara/81415.html?cgid=eyes-mascara
        Volumizing Mascara    ,,,,"Sale Price₹ 327,00",,3.4 out of 5 stars,82 reviews ,https://www.elfcosmetics.com/en_IN/volumizing-mascara/21664.html?cgid=eyes-mascara
        Enhancing Lash & Brow Serum    ,,,,"Sale Price₹ 870,00",,4.6 out of 5 stars,67 reviews ,https://www.elfcosmetics.com/en_IN/enhancing-lash-and-brow-serum/82260.html?cgid=eyes-mascara
        Mini Enhancing Lash & Brow Serum    ,,,,"Sale Price₹ 544,00",,4.6 out of 5 stars,5 reviews ,https://www.elfcosmetics.com/en_IN/mini-enhancing-lash-and-brow-serum/82261.html?cgid=eyes-mascara
