name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
        Holy Hydration! Face Cream - SPF 30    ,             New   ,,,"Sale Price₹ 1.282,00",,4.8 out of 5 stars,38 reviews ,https://www.elfcosmetics.com/en_IN/holy-hydration-face-cream-spf-30/81570.html?cgid=skin-moisturizer
        Holy Hydration! Face Cream    ,             Holy 		Grail 	   ,,,"Sale Price₹ 1.282,00",,4.6 out of 5 stars,803 reviews ,https://www.elfcosmetics.com/en_IN/holy-hydration-face-cream/82829.html?cgid=skin-moisturizer
        Holy Hydration! Face Cream - Fragrance Free    ,             Holy 		Grail 	   ,,,"Sale Price₹ 1.282,00",,4.7 out of 5 stars,155 reviews ,https://www.elfcosmetics.com/en_IN/holy-hydration-face-cream---fragrance-free/82828.html?cgid=skin-moisturizer
        Happy Hydration Cream    ,             Best 		Sellers 	   ,,,"Sale Price₹ 1.282,00",,4.7 out of 5 stars,176 reviews ,https://www.elfcosmetics.com/en_IN/happy-hydration-cream/81551.html?cgid=skin-moisturizer
        Daily Hydration Moisturizer    ,,,,"Sale Price₹ 855,00",,4.2 out of 5 stars,525 reviews ,https://www.elfcosmetics.com/en_IN/daily-hydration-moisturizer/57016.html?cgid=skin-moisturizer
        50 mg CBD Facial Moisturizer    ,,,,"Sale Price₹ 1.602,00",,4.6 out of 5 stars,25 reviews ,https://www.elfcosmetics.com/en_IN/50-mg-cbd-moisturizer/57350.html?cgid=skin-moisturizer
        SuperHydrate Moisturizer    ,,,,"Sale Price₹ 1.282,00",,4.3 out of 5 stars,166 reviews ,https://www.elfcosmetics.com/en_IN/superhydrate-moisturizer/82219.html?cgid=skin-moisturizer
        Nourishing Night Cream    ,,,,"Sale Price₹ 1.282,00",,4.3 out of 5 stars,75 reviews ,https://www.elfcosmetics.com/en_IN/nourishing-night-cream/57017.html?cgid=skin-moisturizer
        Hydrated Ever After Skincare Mini Kit    ,,,,"Sale Price₹ 2.136,00",,4.7 out of 5 stars,27 reviews ,https://www.elfcosmetics.com/en_IN/hydrated-ever-after/57150.html?cgid=skin-moisturizer
        Holy Hydration! Hydro-Gel Moisturizer    ,             New   ,,,"Sale Price₹ 1.282,00",,4.7 out of 5 stars,29 reviews ,https://www.elfcosmetics.com/en_IN/holy-hydration-hydro-gel-moisturizer/59905.html?cgid=skin-moisturizer
        ELF+ GLOW RADIANT MOISTURIZER SPF 15    ,,,,"Sale Price₹ 1.068,00",,4.4 out of 5 stars,90 reviews ,https://www.elfcosmetics.com/en_IN/elf%2B-glow-radiant-moisturizer-spf-15/91027.html?cgid=skin-moisturizer
        Oil Control Pore Minimizing Serum    ,,,,"Sale Price₹ 855,00",,4.9 out of 5 stars,22 reviews ,https://www.elfcosmetics.com/en_IN/oil-control-pore-minimizing-serum/57180.html?cgid=skin-moisturizer
        Jelly Pop Water Gel Moisturizer    ,,,,"Sale Price₹ 855,00",,4.0 out of 5 stars,68 reviews ,https://www.elfcosmetics.com/en_IN/jelly-pop-water-gel-moisturizer/82249.html?cgid=skin-moisturizer
        100 mg CBD Facial Oil    ,,,,"Sale Price₹ 1.923,00",,4.7 out of 5 stars,62 reviews ,https://www.elfcosmetics.com/en_IN/100-mg-cbd-facial-oil/57353.html?cgid=skin-moisturizer
        Prep & Hydrate Balm    ,,,,"Sale Price₹ 855,00",,4.4 out of 5 stars,274 reviews ,https://www.elfcosmetics.com/en_IN/prep-and-hydrate-balm/57043.html?cgid=skin-moisturizer
        Oil Control Liquid Lotion    ,,,,"Sale Price₹ 855,00",,4.5 out of 5 stars,88 reviews ,https://www.elfcosmetics.com/en_IN/oil-control-liquid-lotion/57127.html?cgid=skin-moisturizer
        Hydrating Booster Drops    ,,,,"Sale Price₹ 1.068,00",,4.0 out of 5 stars,68 reviews ,https://www.elfcosmetics.com/en_IN/hydrating-booster-drops/57308.html?cgid=skin-moisturizer
        Hydrating Serum    ,,,,"Sale Price₹ 1.282,00",,4.1 out of 5 stars,179 reviews ,https://www.elfcosmetics.com/en_IN/hydrating-serum/57015.html?cgid=skin-moisturizer
        elf+ Mattifying Lotion    ,,,,"Sale Price₹ 855,00",,4.5 out of 5 stars,90 reviews ,https://www.elfcosmetics.com/en_IN/elf%2B-mattifying-lotion/91028.html?cgid=skin-moisturizer
        Jelly Poppin' Skincare Set    ,             New   ,,,"Sale Price₹ 1.923,00",,0.0 out of 5 stars, ,https://www.elfcosmetics.com/en_IN/jelly-poppin-skincare-set/57270.html?cgid=skin-moisturizer
        50 mg CBD Body Cream    ,,,,"Sale Price₹ 1.923,00",,4.4 out of 5 stars,24 reviews ,https://www.elfcosmetics.com/en_IN/50-mg-cbd-body-cream/57351.html?cgid=skin-moisturizer
        Antioxidant Booster Drops    ,,,,"Sale Price₹ 1.068,00",,4.3 out of 5 stars,67 reviews ,https://www.elfcosmetics.com/en_IN/antioxidant-booster-drops/57133.html?cgid=skin-moisturizer
        All the Feels Facial Oil    ,,,,"Sale Price₹ 1.282,00",,4.3 out of 5 stars,61 reviews ,https://www.elfcosmetics.com/en_IN/all-the-feels-facial-oil/81550.html?cgid=skin-moisturizer
        elf+ Glow Primer Stick    ,,,,"Sale Price₹ 855,00",,4.3 out of 5 stars,24 reviews ,https://www.elfcosmetics.com/en_IN/elf%2B-glow-primer-stick/91025.html?cgid=skin-moisturizer
        Nourishing Facial Oil    ,,,,"Sale Price₹ 1.068,00",,4.7 out of 5 stars,83 reviews ,https://www.elfcosmetics.com/en_IN/nourishing-facial-oil/57130.html?cgid=skin-moisturizer
        Happy Hydration Cream - On the Go    ,,,,"Sale Price₹ 428,00",,4.3 out of 5 stars,38 reviews ,https://www.elfcosmetics.com/en_IN/happy-hydration-cream---on-the-go/57170.html?cgid=skin-moisturizer
        Mini SuperHydrate    ,,,,"Sale Price₹ 534,00",,4.2 out of 5 stars,6 reviews ,https://www.elfcosmetics.com/en_IN/mini-superhydrate/57457.html?cgid=skin-moisturizer
        Mini Holy Hydration! Face Cream    ,,,,"Sale Price₹ 534,00",,4.0 out of 5 stars,1 review ,https://www.elfcosmetics.com/en_IN/mini-holy-hydration-face-cream/57482.html?cgid=skin-moisturizer
        Say Goodbye to Shine Mini Kit    ,,,,"Sale Price₹ 1.495,00",,4.3 out of 5 stars,3 reviews ,https://www.elfcosmetics.com/en_IN/say-goodbye-to-shine-mini-kit/57195.html?cgid=skin-moisturizer
        Mini Daily Hydration Moisturizer    ,,,,"Sale Price₹ 428,00",,0.0 out of 5 stars, ,https://www.elfcosmetics.com/en_IN/mini-daily-hydration-moisturizer/57481.html?cgid=skin-moisturizer
        Holy Hydration! Eye Cream    ,,,,"Sale Price₹ 1.068,00",,4.3 out of 5 stars,62 reviews ,https://www.elfcosmetics.com/en_IN/holy-hydration-eye-cream/57014.html?cgid=skin-moisturizer
        Holy Hydration! Set    ,             New   ,,,"Sale Price₹ 3.631,00",,4.8 out of 5 stars,6 reviews ,https://www.elfcosmetics.com/en_IN/holy-hydration-set/16594.html?cgid=skin-moisturizer
        Workout Ready Hydration Stick    ,,,"Original Price₹ 855,00","Sale Price₹ 342,00",,4.5 out of 5 stars,38 reviews ,https://www.elfcosmetics.com/en_IN/workout-ready-hydration-stick/58002.html?cgid=skin-moisturizer
